역명,날짜,구분,05~06시,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,00~01시,01~02시
서울역(150),2016-12-01,승차,411 ,552 ,1792 ,3429 ,2737 ,2430 ,3161 ,3433 ,3364 ,2767 ,3822 ,4145 ,4984 ,9595 ,5217 ,3492 ,3978 ,2742 ,1380 ,198 ,0 
서울역(150),2016-12-01,하차,280 ,1680 ,4629 ,10313 ,5586 ,2920 ,2673 ,2506 ,2393 ,2648 ,2535 ,2905 ,3084 ,3715 ,2723 ,1794 ,1657 ,1533 ,761 ,373 ,32 
서울역(150),2016-12-02,승차,434 ,520 ,1695 ,3456 ,2848 ,2568 ,3398 ,3926 ,3405 ,2876 ,5175 ,5180 ,6141 ,10682 ,6169 ,4169 ,4479 ,4554 ,1794 ,443 ,0 
서울역(150),2016-12-02,하차,255 ,1609 ,4504 ,10225 ,5322 ,3050 ,2435 ,3037 ,3103 ,2888 ,3391 ,3692 ,3545 ,5575 ,3389 ,2141 ,2076 ,1928 ,1074 ,547 ,64 
서울역(150),2016-12-03,승차,543 ,467 ,982 ,2080 ,3000 ,3077 ,4340 ,5121 ,4781 ,4335 ,6565 ,8023 ,6418 ,6575 ,4904 ,4742 ,4683 ,4654 ,1697 ,228 ,0 
서울역(150),2016-12-03,하차,260 ,1355 ,1853 ,2337 ,3223 ,3218 ,3230 ,3997 ,4507 ,4910 ,5323 ,5384 ,6014 ,5494 ,3803 ,3440 ,3771 ,3317 ,1642 ,837 ,131 
서울역(150),2016-12-04,승차,372 ,321 ,556 ,1058 ,1892 ,2227 ,2893 ,3802 ,3260 ,2762 ,4024 ,4816 ,3343 ,3458 ,2906 ,2525 ,2994 ,3228 ,794 ,46 ,0 
서울역(150),2016-12-04,하차,179 ,757 ,1054 ,1432 ,2082 ,2220 ,2197 ,2682 ,2824 ,3192 ,3478 ,3577 ,3289 ,3230 ,2429 ,1921 ,1742 ,1246 ,498 ,188 ,0 
서울역(150),2016-12-05,승차,499 ,620 ,2631 ,4482 ,2825 ,2415 ,3119 ,3570 ,3101 ,2630 ,3705 ,3754 ,4633 ,9225 ,5184 ,3432 ,3599 ,2267 ,1082 ,182 ,0 
서울역(150),2016-12-05,하차,465 ,2240 ,5038 ,10722 ,5606 ,2880 ,2390 ,2516 ,2606 ,2536 ,2442 ,2932 ,2743 ,3507 ,2566 ,1750 ,1492 ,1426 ,620 ,274 ,22 
서울역(150),2016-12-06,승차,489 ,544 ,1842 ,3287 ,2662 ,2335 ,2772 ,3366 ,2964 ,2622 ,3436 ,3726 ,5048 ,9779 ,5297 ,3425 ,3721 ,2410 ,1202 ,208 ,1 
서울역(150),2016-12-06,하차,292 ,1783 ,4631 ,10854 ,5223 ,2673 ,2260 ,2433 ,2601 ,2327 ,2576 ,2562 ,2912 ,3693 ,2436 ,1725 ,1540 ,1390 ,691 ,307 ,21 
서울역(150),2016-12-07,승차,406 ,562 ,1707 ,3477 ,2606 ,2308 ,2919 ,3327 ,3098 ,2723 ,3574 ,3782 ,5312 ,10104 ,4960 ,3401 ,3630 ,2430 ,1223 ,230 ,1 
서울역(150),2016-12-07,하차,240 ,1694 ,4276 ,10896 ,5669 ,2695 ,2357 ,2403 ,2671 ,2444 ,2463 ,2819 ,2908 ,3664 ,2493 ,1692 ,1530 ,1455 ,727 ,329 ,32 
서울역(150),2016-12-08,승차,431 ,538 ,1798 ,3507 ,2729 ,2204 ,3197 ,3673 ,3194 ,2818 ,3891 ,4271 ,5268 ,9684 ,5289 ,3668 ,4483 ,2854 ,1655 ,263 ,0 
서울역(150),2016-12-08,하차,298 ,1846 ,4656 ,10724 ,5688 ,2973 ,2522 ,2512 ,2733 ,2459 ,2630 ,3055 ,3030 ,3916 ,2554 ,1803 ,1814 ,1765 ,822 ,417 ,15 
서울역(150),2016-12-09,승차,405 ,566 ,1624 ,3317 ,2016 ,2619 ,3777 ,3814 ,3250 ,2641 ,4222 ,4393 ,6630 ,10756 ,6188 ,4083 ,4167 ,3431 ,2061 ,411 ,0 
서울역(150),2016-12-09,하차,270 ,1607 ,4469 ,9948 ,5524 ,2614 ,2694 ,3125 ,2984 ,2733 ,2844 ,3193 ,4058 ,4969 ,3643 ,2280 ,1945 ,1859 ,966 ,599 ,54 
서울역(150),2016-12-10,승차,433 ,425 ,663 ,2105 ,2540 ,3159 ,4396 ,4922 ,4308 ,3916 ,5047 ,5309 ,6315 ,4633 ,4127 ,3773 ,3978 ,2505 ,1417 ,177 ,2 
서울역(150),2016-12-10,하차,255 ,1520 ,1743 ,2093 ,3194 ,3068 ,3087 ,3998 ,4100 ,3838 ,3924 ,4185 ,5051 ,4357 ,3570 ,2916 ,3096 ,2359 ,1077 ,383 ,23 
서울역(150),2016-12-11,승차,303 ,318 ,480 ,1078 ,1528 ,2310 ,3231 ,3606 ,2979 ,2367 ,3345 ,3629 ,4070 ,2936 ,2869 ,2812 ,3062 ,1495 ,617 ,47 ,0 
서울역(150),2016-12-11,하차,169 ,751 ,1073 ,1349 ,1710 ,2006 ,2145 ,2697 ,2724 ,2742 ,2858 ,2958 ,3358 ,2537 ,2424 ,1861 ,1616 ,1015 ,481 ,164 ,0 
서울역(150),2016-12-12,승차,429 ,593 ,2459 ,3382 ,2530 ,2145 ,3382 ,3406 ,3078 ,2529 ,3485 ,4001 ,4733 ,9351 ,5113 ,3707 ,3536 ,2277 ,1117 ,169 ,0 
서울역(150),2016-12-12,하차,375 ,2349 ,4961 ,11083 ,5610 ,2504 ,2610 ,2464 ,2754 ,2332 ,2620 ,2797 ,2833 ,3494 ,2367 ,1563 ,1464 ,1292 ,585 ,201 ,17 
서울역(150),2016-12-13,승차,430 ,566 ,1751 ,3191 ,2390 ,2061 ,3185 ,3166 ,3207 ,2430 ,3578 ,3921 ,5102 ,9523 ,4989 ,3800 ,3580 ,2266 ,1249 ,231 ,0 
서울역(150),2016-12-13,하차,257 ,1763 ,4773 ,10429 ,5518 ,2550 ,2599 ,2588 ,2467 ,2468 ,2672 ,2895 ,2941 ,3329 ,2480 ,1643 ,1502 ,1360 ,724 ,281 ,19 
서울역(150),2016-12-14,승차,408 ,534 ,1707 ,3146 ,2327 ,2161 ,3099 ,3094 ,3107 ,2361 ,3376 ,4138 ,5440 ,9742 ,4630 ,3426 ,3633 ,2306 ,1236 ,233 ,0 
서울역(150),2016-12-14,하차,300 ,1780 ,4676 ,10044 ,5511 ,2404 ,2398 ,2533 ,2484 ,2419 ,2560 ,2544 ,2909 ,3725 ,2427 ,1650 ,1594 ,1369 ,717 ,298 ,28 
서울역(150),2016-12-15,승차,395 ,543 ,1721 ,3193 ,2321 ,1908 ,3267 ,3414 ,3033 ,2411 ,3757 ,4030 ,5268 ,9413 ,4991 ,3656 ,4064 ,2556 ,1421 ,256 ,0 
서울역(150),2016-12-15,하차,295 ,1758 ,4603 ,10202 ,5439 ,2417 ,2434 ,2617 ,2506 ,2481 ,2552 ,2460 ,3099 ,3642 ,2581 ,1784 ,1821 ,1448 ,713 ,381 ,33 
서울역(150),2016-12-16,승차,356 ,493 ,1550 ,3284 ,1756 ,2437 ,3490 ,3826 ,3485 ,2623 ,4230 ,4493 ,6098 ,10485 ,6005 ,3760 ,4227 ,3517 ,2149 ,368 ,0 
서울역(150),2016-12-16,하차,280 ,1573 ,4252 ,9691 ,5030 ,2719 ,2472 ,2933 ,2840 ,2839 ,2891 ,2962 ,3714 ,4760 ,3719 ,2106 ,2017 ,1969 ,1072 ,587 ,79 
서울역(150),2016-12-17,승차,466 ,422 ,662 ,2014 ,2706 ,3122 ,4378 ,4899 ,4546 ,3839 ,5061 ,5584 ,8273 ,6226 ,4009 ,3842 ,4113 ,2607 ,1298 ,49 ,0 
서울역(150),2016-12-17,하차,232 ,1595 ,1834 ,2323 ,3181 ,3051 ,3149 ,4059 ,3677 ,3726 ,3932 ,4282 ,5172 ,4045 ,3464 ,2675 ,2649 ,1979 ,1079 ,366 ,0 
서울역(150),2016-12-18,승차,327 ,327 ,425 ,1244 ,1536 ,2400 ,3453 ,3726 ,3377 ,2659 ,3623 ,3994 ,4168 ,3287 ,3174 ,2889 ,3524 ,1764 ,775 ,88 ,0 
서울역(150),2016-12-18,하차,157 ,877 ,1266 ,1339 ,1918 ,2214 ,2381 ,2811 ,2774 ,2699 ,2788 ,2896 ,3697 ,2890 ,2651 ,2135 ,1786 ,1117 ,589 ,149 ,0 
서울역(150),2016-12-19,승차,421 ,599 ,2120 ,3597 ,2342 ,2552 ,3235 ,3441 ,3360 ,2588 ,3823 ,4062 ,4921 ,9307 ,4892 ,3712 ,3588 ,2381 ,1235 ,200 ,2 
서울역(150),2016-12-19,하차,374 ,2280 ,4965 ,10400 ,5131 ,2786 ,2570 ,2570 ,2651 ,2515 ,2462 ,2703 ,2889 ,3455 ,2440 ,1785 ,1577 ,1288 ,623 ,270 ,24 
서울역(150),2016-12-20,승차,427 ,578 ,1697 ,2997 ,2370 ,2632 ,3113 ,3324 ,3375 ,2870 ,3745 ,4003 ,4898 ,9559 ,4974 ,3633 ,3861 ,2540 ,1248 ,207 ,0 
서울역(150),2016-12-20,하차,314 ,1830 ,4478 ,10543 ,5101 ,2824 ,2613 ,2646 ,2673 ,2642 ,2685 ,2682 ,3191 ,3386 ,2537 ,1767 ,1594 ,1387 ,777 ,355 ,34 
